Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
200,13.43250000,0.00026425,-0.00000000,-0.49086975,13.43250000,374.30856836,-0.08329092,-0.00000000,0.00000000,-0.02020006
201,13.50000000,0.00025070,-0.00000000,-0.48388853,13.50000000,369.73090259,-0.07643413,-0.00000000,0.00000000,-0.01457792
202,13.56750000,0.00023734,-0.00000000,-0.47699269,13.56750000,365.19591046,-0.06987659,-0.00000000,-0.00000000,-0.00941862
203,13.63500000,0.00022423,-0.00000000,-0.47018143,13.63500000,360.70343617,-0.06361896,-0.00000000,-0.00000000,-0.00470195
204,13.70250000,0.00021140,-0.00000000,-0.46345397,13.70250000,356.25331951,-0.05766066,-0.00000000,-0.00000000,-0.00040767
205,13.77000000,0.00019888,-0.00000000,-0.45680950,13.77000000,351.84539605,-0.05200001,-0.00000000,-0.00000000,0.00348443
206,13.83750000,0.00018669,-0.00000000,-0.45024724,13.83750000,347.47949717,-0.04663431,-0.00000000,-0.00000000,0.00699443
207,13.90500000,0.00017487,-0.00000000,-0.44376641,13.90500000,343.15545023,-0.04155991,-0.00000000,-0.00000000,0.01014224
208,13.97250000,0.00016342,-0.00000000,-0.43736623,13.97250000,338.87307870,-0.03677229,-0.00000000,-0.00000000,0.01294754
209,14.04000000,0.00015237,-0.00000000,-0.43104591,14.04000000,334.63220222,-0.03226618,-0.00000000,-0.00000000,0.01542967
210,14.10750000,0.00014172,-0.00000000,-0.42480470,14.10750000,330.43263678,-0.02803562,-0.00000000,-0.00000000,0.01760763
211,14.17500000,0.00013148,-0.00000000,-0.41864181,14.17500000,326.27419477,-0.02407400,-0.00000000,-0.00000000,0.01950004
212,14.24250000,0.00012167,-0.00000000,-0.41255648,14.24250000,322.15668515,-0.02037420,-0.00000000,-0.00000000,0.02112503
213,14.31000000,0.00011228,-0.00000000,-0.40654795,14.31000000,318.07991350,-0.01692862,-0.00000000,-0.00000000,0.02250029
214,14.37750000,0.00010333,-0.00000000,-0.40061545,14.37750000,314.04368217,-0.01372924,-0.00000000,-0.00000000,0.02364297
215,14.44500000,0.00009479,-0.00000000,-0.39475823,14.44500000,310.04779039,-0.01076772,-0.00000000,-0.00000000,0.02456970
